,sending_celltype,receiving_celltype,interaction_score,ligand,receptor,interaction_name
3684,Mac_expanding,cancer_non_expanding,0.0005623448304646868,Fgf1,Fgfr2,Fgf1::Fgfr2
3685,Mesothelial_expanding,cancer_non_expanding,0.000562327032887093,Thbs2,Cd36,Thbs2::Cd36
3686,Alveolar Macrophage_non_expanding,Pecam1+ Mac_non_expanding,0.0005620475856897794,Ptprc,Mrc1,Ptprc::Mrc1
3687,Mac_expanding,Mac_non_expanding,0.00056192146262958,Lamb3,Cd44,Lamb3::Cd44
3688,AT2_non_expanding,Ciliated cell_non_expanding,0.0005619124487398321,Cd46,Jag1,Cd46::Jag1
3689,Mesothelial_expanding,Endothelial_expanding,0.0005616203576000579,Thbs2,Itga3,Thbs2::Itga3
3690,Endothelial_non_expanding,Endothelial_non_expanding,0.0005615007963043959,Vwf,Itgav,Vwf::Itgav
3691,cancer_non_expanding,MonoMac_expanding,0.0005614576273660016,Angptl1,Pirb,Angptl1::Pirb
3692,myCAF_expanding,cancer_non_expanding,0.0005613517035198589,Col6a3,Itga3,Col6a3::Itga3
3693,Mac_non_expanding,cancer_non_expanding,0.0005612770726415225,Col4a3,Sdc4,Col4a3::Sdc4
3694,AT2_non_expanding,Mac_non_expanding,0.0005612638855418876,Npnt,Itgb1,Npnt::Itgb1
3695,Mac_expanding,cancer_expanding,0.000560621630885882,Col4a2,Itga3,Col4a2::Itga3
3696,iCAF_expanding,Mac_expanding,0.000560586105569999,Wnt2,Lrp5,Wnt2::Lrp5
3697,cancer_non_expanding,cancer_non_expanding,0.000559959471530937,Slc1a3,Grik5,Slc1a3::Grik5
3698,cancer_non_expanding,myCAF_non_expanding,0.0005597660799205329,Bmp4,Bmpr1b,Bmp4::Bmpr1b
3699,cancer_expanding,Mac_non_expanding,0.0005596161968310282,Cdh1,Itga2,Cdh1::Itga2
3700,myCAF_expanding,cancer_non_expanding,0.0005593926785926504,Tnc,Sdc1,Tnc::Sdc1
3701,Mac_expanding,myCAF_non_expanding,0.0005593302782321915,Tenm4,Adgrl3,Tenm4::Adgrl3
3702,cancer_non_expanding,Mac_expanding,0.0005588931874336548,Lama3,Itga9,Lama3::Itga9
3703,myCAF_non_expanding,Mac_non_expanding,0.0005588775888215172,App,Tnfrsf21,App::Tnfrsf21
3704,iCAF_non_expanding,myCAF_non_expanding,0.0005581619830629681,Col1a2,Itga1,Col1a2::Itga1
3705,Mac_non_expanding,Mac_expanding,0.0005572227520969734,Slc18a2,Htr2c,Slc18a2::Htr2c
3706,myCAF_expanding,cancer_non_expanding,0.000555715435717042,Igf1,Igf1r,Igf1::Igf1r
3707,cancer_non_expanding,Mac_expanding,0.0005556340490697265,Slc1a3,Grm5,Slc1a3::Grm5
3708,iCAF_non_expanding,cancer_expanding,0.0005547587698752743,Col1a2,Itga2,Col1a2::Itga2
3709,Ciliated cell_expanding,Mac_expanding,0.0005546632899500308,Aldh1a1,Rarg,Aldh1a1::Rarg
3710,Mac_non_expanding,Mac_non_expanding,0.0005544470847767431,Il18,Il18r1,Il18::Il18r1
3711,AT2_expanding,cancer_non_expanding,0.0005543503155810855,Col4a3,Adgrg6,Col4a3::Adgrg6
3712,Mac_non_expanding,cancer_expanding,0.0005543472341283954,Lama3,Cd44,Lama3::Cd44
3713,Mac_non_expanding,AT2_non_expanding,0.0005536254186204779,Wnt2b,Lrp5,Wnt2b::Lrp5
3714,cancer_expanding,cancer_expanding,0.0005531586733404919,Lamc2,Itga6,Lamc2::Itga6
3715,Mac_expanding,cancer_non_expanding,0.0005531477457688301,Col4a4,Itgb1,Col4a4::Itgb1
3716,Mac_expanding,AT2_non_expanding,0.0005530542968370835,Col4a1,Itga9,Col4a1::Itga9
3717,cancer_non_expanding,Club cell_non_expanding,0.0005527085824955843,Dsg2,Dsc3,Dsg2::Dsc3
3718,Pericyte_non_expanding,AT2_non_expanding,0.0005522834160360011,Lamb1,Itga9,Lamb1::Itga9
3719,cancer_expanding,AT2_expanding,0.00055224560514315,Col4a4,Itgav,Col4a4::Itgav
3720,Endothelial_expanding,AT2_expanding,0.0005521456495858168,Lama1,Itgb1,Lama1::Itgb1
3721,myCAF_non_expanding,iCAF_non_expanding,0.0005520507845984838,Flrt3,Adgrl3,Flrt3::Adgrl3
3722,Mac_non_expanding,Mac_non_expanding,0.0005519599357151684,Col4a4,Itgav,Col4a4::Itgav
3723,cancer_non_expanding,iCAF_expanding,0.0005516450010547779,Lama3,Itgb8,Lama3::Itgb8
3724,cancer_non_expanding,cancer_non_expanding,0.0005514890613743554,Col4a5,Cd44,Col4a5::Cd44
3725,Endothelial_non_expanding,myCAF_non_expanding,0.0005511808525702488,Vwf,Itgav,Vwf::Itgav
3726,cancer_non_expanding,Pericyte_expanding,0.000550615957993839,Fgf1,Fgfr1,Fgf1::Fgfr1
3727,MonoMac_non_expanding,Alveolar Macrophage_non_expanding,0.0005504763624209993,Lgals9,Ptprc,Lgals9::Ptprc
3728,Pecam1+ Mac_expanding,cancer_non_expanding,0.000549371525489503,Jam2,Itgb1,Jam2::Itgb1
3729,AT2_non_expanding,cancer_non_expanding,0.0005492243019627128,Lama3,Itga9,Lama3::Itga9
3730,AT2_expanding,Mac_expanding,0.0005488222070800981,Slc18a2,Htr1f,Slc18a2::Htr1f
3731,Mesothelial_non_expanding,Mac_non_expanding,0.0005481698056976463,Col1a2,Itga1,Col1a2::Itga1
3732,cancer_expanding,cancer_non_expanding,0.0005478078643320666,Angptl3,Itgav,Angptl3::Itgav
3733,AT2_expanding,iCAF_expanding,0.0005473940003888521,Col6a1,Itgb8,Col6a1::Itgb8
3734,Mac_expanding,cancer_non_expanding,0.0005473665661135644,Col4a4,Sdc4,Col4a4::Sdc4
3735,cancer_non_expanding,Mac_non_expanding,0.000546422137225469,Cd55,Adgre5,Cd55::Adgre5
3736,cancer_expanding,cancer_non_expanding,0.000546416283792701,Lamb1,Itgb1,Lamb1::Itgb1
3737,cancer_expanding,cancer_expanding,0.0005463455416994425,Lamc2,Itga3,Lamc2::Itga3
3738,cancer_non_expanding,myCAF_non_expanding,0.0005463279497859297,Jag1,Notch3,Jag1::Notch3
3739,cancer_expanding,cancer_non_expanding,0.0005450008615275039,Lama3,Itgb1,Lama3::Itgb1
3740,cancer_expanding,AT2_expanding,0.000544909887572648,Fgf1,Fgfr2,Fgf1::Fgfr2
3741,AT2_expanding,Mac_expanding,0.0005448562406345296,Sftpd,Adgre5,Sftpd::Adgre5
3742,Mac_non_expanding,cancer_expanding,0.0005447822226693238,Col4a4,Itga2,Col4a4::Itga2
3743,Endothelial_expanding,Club cell_non_expanding,0.0005446908888650581,Jam2,F11r,Jam2::F11r
3744,cancer_expanding,cancer_non_expanding,0.0005446724557271597,Col4a4,Cd44,Col4a4::Cd44
3745,cancer_non_expanding,MonoMac_expanding,0.0005446715746611271,Gas6,Axl,Gas6::Axl
3746,cancer_non_expanding,AT2_non_expanding,0.0005446653799773293,Col4a5,Sdc4,Col4a5::Sdc4
3747,Mac_expanding,cancer_non_expanding,0.0005442130276326321,Inhbb,Acvr1b,Inhbb::Acvr1b
3748,cancer_expanding,AT2_expanding,0.0005438452394526698,Spp1,Itgav,Spp1::Itgav
3749,MonoMac_non_expanding,Mac_non_expanding,0.0005435499061731911,App,Tnfrsf21,App::Tnfrsf21
3750,iCAF_non_expanding,Mesothelial_non_expanding,0.0005430954681909625,Flrt2,Unc5b,Flrt2::Unc5b
3751,Mac_non_expanding,Endothelial_non_expanding,0.0005430732467471682,Dlk1,Notch1,Dlk1::Notch1
3752,Pericyte_non_expanding,cancer_non_expanding,0.0005427386312099694,Pecam1,Cd38,Pecam1::Cd38
3753,cancer_expanding,cancer_expanding,0.0005425980088998695,Lama5,Itgb4,Lama5::Itgb4
3754,AT2_non_expanding,myCAF_non_expanding,0.0005423206758325361,Lrrc4,Ntng2,Lrrc4::Ntng2
3755,cancer_non_expanding,Mac_expanding,0.0005421938486716304,Sema3c,Nrp2,Sema3c::Nrp2
3756,Mesothelial_expanding,AT2_non_expanding,0.0005421263847802024,Wnt4,Lrp5,Wnt4::Lrp5
3757,cancer_expanding,cancer_expanding,0.0005418992206310912,Col4a1,Itga3,Col4a1::Itga3
3758,myCAF_expanding,myCAF_non_expanding,0.0005418822321763109,Slit2,Robo1,Slit2::Robo1
3759,cancer_expanding,Mesothelial_non_expanding,0.0005415302894204139,Flrt2,Unc5b,Flrt2::Unc5b
3760,Mesothelial_expanding,cancer_expanding,0.0005414721338501835,Lama4,Itga6,Lama4::Itga6
3761,Mac_expanding,Mac_non_expanding,0.0005413757363189972,Col4a3,Itgb1,Col4a3::Itgb1
3762,AT2_non_expanding,Mac_non_expanding,0.0005409728605616261,Icam1,Itgal,Icam1::Itgal
3763,iCAF_non_expanding,cancer_non_expanding,0.0005408016179646562,Lama2,Dag1,Lama2::Dag1
3764,iCAF_expanding,cancer_expanding,0.0005406139119128343,Lama2,Itgb4,Lama2::Itgb4
3765,Endothelial_expanding,cancer_expanding,0.0005403852170493071,Bmp6,Bmpr1b,Bmp6::Bmpr1b
3766,Mac_non_expanding,Mac_non_expanding,0.0005403737111713185,Col4a1,Itga2,Col4a1::Itga2
3767,Mesothelial_non_expanding,MonoMac_expanding,0.0005403002826852618,Pros1,Axl,Pros1::Axl
3768,cancer_non_expanding,Mac_expanding,0.0005398717379395652,Lama3,Itgav,Lama3::Itgav
3769,cancer_expanding,Mac_expanding,0.0005397791997769254,Tnc,Itgb6,Tnc::Itgb6
3770,cancer_expanding,Endothelial_expanding,0.0005396571673190186,Bmp7,Acvr2a,Bmp7::Acvr2a
3771,MonoMac_non_expanding,Mesothelial_non_expanding,0.0005395772956485683,Fn1,Itgb8,Fn1::Itgb8
3772,iCAF_expanding,cancer_non_expanding,0.0005392815901233184,Col1a2,Sdc1,Col1a2::Sdc1
3773,MonoMac_non_expanding,cancer_expanding,0.0005390330430617492,Fn1,Itgb1,Fn1::Itgb1
3774,Mac_non_expanding,cancer_expanding,0.0005380716059396457,Slc6a6,Gabbr1,Slc6a6::Gabbr1
3775,Endothelial_non_expanding,MonoMac_non_expanding,0.0005378490021257053,Pecam1,Cd38,Pecam1::Cd38
3776,AT2_non_expanding,AT2_expanding,0.0005378196491085178,Col4a1,Itgav,Col4a1::Itgav
3777,cancer_expanding,cancer_non_expanding,0.0005377766006343648,Lamb3,Dag1,Lamb3::Dag1
3778,AT2_expanding,Mac_non_expanding,0.0005377708805704908,F11r,Itgal,F11r::Itgal
3779,Alveolar Macrophage_non_expanding,cancer_non_expanding,0.0005375222444350882,Sirpb1b,Cd47,Sirpb1b::Cd47
3780,myCAF_non_expanding,cancer_non_expanding,0.0005372080530841599,Ubash3b,Ppara,Ubash3b::Ppara
3781,Pericyte_expanding,cancer_expanding,0.0005369324316482779,Ptn,Sdc1,Ptn::Sdc1
3782,AT2_expanding,cancer_non_expanding,0.0005368974290066726,Col4a2,Sdc1,Col4a2::Sdc1
3783,cancer_non_expanding,Endothelial_non_expanding,0.0005365748033206904,Col4a2,Itga1,Col4a2::Itga1
3784,cancer_expanding,Mac_non_expanding,0.0005365296665658971,Tgfb1,Tgfbr1,Tgfb1::Tgfbr1
3785,Mac_non_expanding,cancer_expanding,0.0005360918274152321,Col4a5,Cd44,Col4a5::Cd44
3786,Mac_non_expanding,cancer_non_expanding,0.0005356796581822074,Col4a2,Sdc4,Col4a2::Sdc4
3787,iCAF_expanding,myCAF_non_expanding,0.0005350686365269978,Pdgfd,Pdgfrb,Pdgfd::Pdgfrb
3788,AT2_non_expanding,Mac_expanding,0.0005347547404120064,Il34,Csf1r,Il34::Csf1r
3789,Mac_non_expanding,myCAF_non_expanding,0.00053460109206202,Lrrc4,Ntng2,Lrrc4::Ntng2
3790,AT2_non_expanding,Mac_non_expanding,0.000534515264555102,Bmp4,Bmpr2,Bmp4::Bmpr2
3791,cancer_expanding,AT2_expanding,0.0005342441928075224,Col4a4,Sdc4,Col4a4::Sdc4
3792,Mac_non_expanding,cancer_non_expanding,0.0005336724067024749,Angptl3,Itgav,Angptl3::Itgav
3793,Club cell_non_expanding,Mac_non_expanding,0.0005336685411797965,Nrxn1,Clstn2,Nrxn1::Clstn2
3794,AT2_non_expanding,Mac_expanding,0.0005336614667289641,Col6a1,Itga1,Col6a1::Itga1
3795,AT2_expanding,AT2_expanding,0.0005334715664514989,Col4a3,Itgb1,Col4a3::Itgb1
3796,Mesothelial_non_expanding,iCAF_non_expanding,0.000533217415505634,Gls,Gria3,Gls::Gria3
3797,Mac_expanding,cancer_expanding,0.0005330769884939736,Col4a1,Itga3,Col4a1::Itga3
3798,cancer_expanding,iCAF_expanding,0.0005323631274007859,Slit2,Robo1,Slit2::Robo1
3799,Mac_non_expanding,Mac_non_expanding,0.0005323202098848411,Bmp4,Bmpr2,Bmp4::Bmpr2
3800,Mac_expanding,cancer_non_expanding,0.0005321910744452604,Cdh1,Itga2,Cdh1::Itga2
3801,Mac_expanding,iCAF_expanding,0.0005319628729608954,Fgf1,Fgfr1,Fgf1::Fgfr1
3802,Pericyte_non_expanding,AT2_non_expanding,0.0005316046890153078,Jam2,Itgav,Jam2::Itgav
3803,cancer_expanding,cancer_non_expanding,0.0005312078572321314,Bmp5,Acvr1,Bmp5::Acvr1
3804,cancer_expanding,cancer_non_expanding,0.0005304100194749046,Cdh1,Itgb1,Cdh1::Itgb1
3805,cancer_expanding,MonoMac_expanding,0.0005303983176449217,Mif,Cd74,Mif::Cd74
3806,cancer_expanding,myCAF_expanding,0.000530104709079687,Sdc1,Adgra2,Sdc1::Adgra2
3807,Mesothelial_non_expanding,MonoMac_non_expanding,0.0005300909308507326,Csf1,Csf1r,Csf1::Csf1r
3808,cancer_non_expanding,AT2_expanding,0.000529538101001475,Lamb3,Itgav,Lamb3::Itgav
3809,Ciliated cell_expanding,cancer_expanding,0.0005292170443513674,Nrg1,Itgav,Nrg1::Itgav
3810,Mac_expanding,Mac_expanding,0.0005289766716423204,Col4a4,Itga9,Col4a4::Itga9
3811,cancer_expanding,Mac_non_expanding,0.0005287494740244217,Bmp7,Bmpr1a,Bmp7::Bmpr1a
3812,myCAF_non_expanding,cancer_non_expanding,0.0005283444724865983,Igf1,Itgav,Igf1::Itgav
3813,Mac_expanding,myCAF_non_expanding,0.0005278677073277075,Col4a2,Itga1,Col4a2::Itga1
3814,myCAF_expanding,AT2_non_expanding,0.0005273912740704123,Thbs2,Cd36,Thbs2::Cd36
3815,Mac_non_expanding,AT2_expanding,0.0005271980883083571,Col4a4,Itgav,Col4a4::Itgav
3816,iCAF_expanding,Endothelial_expanding,0.0005271117309458975,Lama2,Itga1,Lama2::Itga1
3817,Mesothelial_expanding,cancer_expanding,0.0005269944275779393,Fn1,Itgb3,Fn1::Itgb3
3818,myCAF_non_expanding,cancer_non_expanding,0.0005268508115480228,Tnc,Itga9,Tnc::Itga9
3819,MonoMac_expanding,Mesothelial_non_expanding,0.0005263396021592933,Fn1,Itgb8,Fn1::Itgb8
3820,Pericyte_non_expanding,cancer_non_expanding,0.0005261605454792942,Lama4,Itga9,Lama4::Itga9
3821,Endothelial_expanding,cancer_non_expanding,0.0005255647914851318,Efnb2,Epha4,Efnb2::Epha4
3822,AT2_non_expanding,Mesothelial_non_expanding,0.0005249889990420829,Col4a2,Itgb8,Col4a2::Itgb8
3823,cancer_non_expanding,iCAF_non_expanding,0.000524864508420328,Itgb1,Vcam1,Itgb1::Vcam1
3824,cancer_expanding,myCAF_expanding,0.0005248599590794952,Fn1,Itgb8,Fn1::Itgb8
3825,Mac_non_expanding,cancer_expanding,0.0005245986425935341,Lamc2,Itga2,Lamc2::Itga2
3826,cancer_non_expanding,cancer_expanding,0.0005243230143924595,Lamb3,Dag1,Lamb3::Dag1
3827,Club cell_non_expanding,cancer_non_expanding,0.0005243145094789508,Col4a6,Itga9,Col4a6::Itga9
3828,cancer_expanding,Mac_non_expanding,0.000523583661349361,Itgav,Adgre5,Itgav::Adgre5
3829,Endothelial_non_expanding,cancer_non_expanding,0.0005234986070279169,App,Tnfrsf21,App::Tnfrsf21
3830,cancer_non_expanding,iCAF_expanding,0.0005234978628145708,Npnt,Itga8,Npnt::Itga8
3831,myCAF_expanding,Endothelial_expanding,0.0005232441814127755,Igf1,Itga6,Igf1::Itga6
3832,Mac_non_expanding,AT2_expanding,0.0005229496723734166,Col4a4,Sdc4,Col4a4::Sdc4
3833,Mac_non_expanding,cancer_expanding,0.0005222579617177309,Angpt2,Itgb1,Angpt2::Itgb1
3834,AT2_non_expanding,cancer_expanding,0.0005222277115196608,Slc18a2,Htr2b,Slc18a2::Htr2b
3835,AT2_non_expanding,Mac_expanding,0.0005216504163535055,Col4a3,Itga1,Col4a3::Itga1
3836,cancer_non_expanding,cancer_non_expanding,0.0005210739956448807,Sema3c,Plxna1,Sema3c::Plxna1
3837,AT2_non_expanding,AT2_expanding,0.000520501140743764,Slc1a3,Grm5,Slc1a3::Grm5
3838,MonoMac_expanding,cancer_non_expanding,0.0005201112998788428,Cxcl16,Cxcr6,Cxcl16::Cxcr6
3839,AT2_non_expanding,Alveolar Macrophage_non_expanding,0.0005199227545079826,Cd200,Cd200r1,Cd200::Cd200r1
3840,AT2_expanding,Mac_non_expanding,0.0005196765525587875,App,Cd74,App::Cd74
3841,AT2_expanding,cancer_non_expanding,0.0005189814656259696,Lamc1,Itga2,Lamc1::Itga2
3842,cancer_expanding,myCAF_non_expanding,0.0005188969042090253,Jag1,Notch3,Jag1::Notch3
3843,Ciliated cell_expanding,myCAF_expanding,0.0005188620263777094,Slc1a1,Gria3,Slc1a1::Gria3
3844,cancer_non_expanding,cancer_non_expanding,0.0005187239572196853,Lamb3,Itga3,Lamb3::Itga3
3845,Mesothelial_expanding,iCAF_expanding,0.0005183876545870932,Tenm3,Adgrl3,Tenm3::Adgrl3
3846,AT2_expanding,Mac_non_expanding,0.0005172269546922822,Col4a1,Cd44,Col4a1::Cd44
3847,Mac_non_expanding,cancer_non_expanding,0.0005170673806726486,Lamb3,Dag1,Lamb3::Dag1
3848,Mac_non_expanding,myCAF_non_expanding,0.0005164521852250233,Angptl1,Itga1,Angptl1::Itga1
3849,AT2_non_expanding,Pericyte_non_expanding,0.0005163812586979454,Lamc1,Itga1,Lamc1::Itga1
3850,Alveolar Macrophage_non_expanding,Alveolar Macrophage_expanding,0.0005160123683625846,Sirpb1b,Cd47,Sirpb1b::Cd47
3851,cancer_non_expanding,Alveolar Macrophage_expanding,0.0005159981307119481,Col4a2,Cd44,Col4a2::Cd44
3852,Mac_non_expanding,cancer_expanding,0.0005158917686117841,Nampt,Itga5,Nampt::Itga5
3853,cancer_non_expanding,cancer_non_expanding,0.0005156072567836013,Col4a2,Sdc1,Col4a2::Sdc1
3854,cancer_expanding,cancer_expanding,0.0005154622587069509,Col4a2,Sdc1,Col4a2::Sdc1
3855,Mesothelial_expanding,Mesothelial_expanding,0.0005153676179603877,Ubash3b,Esr1,Ubash3b::Esr1
3856,Endothelial_non_expanding,cancer_non_expanding,0.0005153511399149252,App,Cd74,App::Cd74
3857,cancer_expanding,cancer_expanding,0.0005153021743882714,Lamc1,Itgav,Lamc1::Itgav
3858,Ciliated cell_expanding,cancer_expanding,0.0005152524926852226,Thbs3,Sdc4,Thbs3::Sdc4
3859,cancer_non_expanding,cancer_non_expanding,0.0005143757700169109,Lamb3,Itga1,Lamb3::Itga1
3860,cancer_expanding,cancer_non_expanding,0.0005140202064570067,Lama5,Itga6,Lama5::Itga6
3861,Pericyte_expanding,cancer_expanding,0.0005139851603613896,Sema6a,Plxna4,Sema6a::Plxna4
3862,Alveolar Macrophage_non_expanding,Mac_expanding,0.0005134072773035829,Lipa,Rora,Lipa::Rora
3863,Mac_non_expanding,Mac_non_expanding,0.000513080093166998,Slc18a2,Htr1f,Slc18a2::Htr1f
3864,Endothelial_expanding,myCAF_expanding,0.0005129773380118045,Lama1,Itgb8,Lama1::Itgb8
3865,AT2_non_expanding,Mac_non_expanding,0.0005128112247345857,App,Tnfrsf21,App::Tnfrsf21
3866,iCAF_expanding,cancer_non_expanding,0.0005127493404501703,Col1a1,Itgb1,Col1a1::Itgb1
3867,cancer_non_expanding,cancer_non_expanding,0.0005124629031068982,Lamc1,Itga6,Lamc1::Itga6
3868,myCAF_non_expanding,cancer_expanding,0.0005123931398006538,Lamb1,Itgb1,Lamb1::Itgb1
3869,iCAF_expanding,cancer_expanding,0.000512374566965647,Col1a1,Itgav,Col1a1::Itgav
3870,Mac_non_expanding,Mac_non_expanding,0.0005120673668026419,Wnt2b,Lrp5,Wnt2b::Lrp5
3871,Mesothelial_expanding,Mac_expanding,0.0005120602535996369,Tnc,Itga9,Tnc::Itga9
3872,AT2_non_expanding,Alveolar Macrophage_non_expanding,0.00051197445561113,Icam1,Itgal,Icam1::Itgal
3873,Mac_non_expanding,cancer_expanding,0.0005119026607445498,Col4a2,Sdc4,Col4a2::Sdc4
3874,Mac_expanding,Mac_non_expanding,0.0005118641549479085,Bmp4,Bmpr2,Bmp4::Bmpr2
3875,cancer_non_expanding,Pericyte_expanding,0.0005116954522999547,Angptl1,Itga1,Angptl1::Itga1
3876,Mac_non_expanding,Mac_non_expanding,0.0005115224084615511,Lama3,Itga9,Lama3::Itga9
3877,cancer_expanding,Mac_expanding,0.0005113257061104787,Lamb1,Dag1,Lamb1::Dag1
3878,AT2_expanding,cancer_non_expanding,0.0005111000278603779,Col6a1,Itga1,Col6a1::Itga1
3879,cancer_non_expanding,Mac_expanding,0.0005107797762880157,Col4a3,Itga9,Col4a3::Itga9
3880,AT2_expanding,cancer_non_expanding,0.0005101522546525195,Lama5,Itgav,Lama5::Itgav
3881,AT2_expanding,myCAF_expanding,0.0005101422582197081,Pdgfa,Pdgfrb,Pdgfa::Pdgfrb
3882,cancer_non_expanding,Mac_non_expanding,0.0005100645204795044,Col4a1,Adgrg6,Col4a1::Adgrg6
3883,myCAF_non_expanding,iCAF_expanding,0.0005100327709538729,Col1a1,Itga1,Col1a1::Itga1
3884,AT2_non_expanding,myCAF_non_expanding,0.0005099946157483292,Vegfa,Flt1,Vegfa::Flt1
3885,Mac_non_expanding,myCAF_non_expanding,0.0005096938238652327,Pdgfb,Pdgfrb,Pdgfb::Pdgfrb
3886,cancer_non_expanding,cancer_non_expanding,0.0005094634458390561,Lama2,Itga9,Lama2::Itga9
3887,cancer_expanding,iCAF_expanding,0.0005092291047008442,Col6a2,Itgb8,Col6a2::Itgb8
3888,iCAF_non_expanding,cancer_non_expanding,0.0005083387656698993,Sema6a,Plxna4,Sema6a::Plxna4
3889,cancer_expanding,Mesothelial_expanding,0.0005083106875711268,Itgb1,Vcam1,Itgb1::Vcam1
3890,Mac_non_expanding,cancer_non_expanding,0.0005081296065195225,Tg,Thra,Tg::Thra
3891,Pecam1+ Mac_expanding,AT2_non_expanding,0.0005076406406431583,Sema6a,Plxna2,Sema6a::Plxna2
3892,cancer_expanding,Mac_non_expanding,0.0005070586057565509,Flrt2,Adgrl2,Flrt2::Adgrl2
3893,Endothelial_non_expanding,cancer_expanding,0.00050659465896971,Vwf,Itgb3,Vwf::Itgb3
3894,cancer_expanding,Mac_non_expanding,0.0005060852315222626,Lama3,Itgav,Lama3::Itgav
3895,Mac_non_expanding,cancer_expanding,0.0005053862650068677,Angptl3,Itgb3,Angptl3::Itgb3
3896,AT2_non_expanding,Mac_non_expanding,0.0005052469020342641,Col4a1,Itga1,Col4a1::Itga1
3897,cancer_expanding,cancer_expanding,0.0005052340920638367,Col4a3,Sdc1,Col4a3::Sdc1
3898,AT2_non_expanding,cancer_expanding,0.0005047029805447122,Lamc2,Itgav,Lamc2::Itgav
3899,AT2_expanding,myCAF_non_expanding,0.0005046524528158111,Col4a2,Adgrg6,Col4a2::Adgrg6
3900,cancer_expanding,cancer_non_expanding,0.000504621450678243,Col4a3,Itga2,Col4a3::Itga2
3901,Mac_non_expanding,cancer_expanding,0.000503441477906122,Lamc1,Itga2,Lamc1::Itga2
3902,Mesothelial_non_expanding,AT2_non_expanding,0.000503427640165173,Flrt2,Adgrl2,Flrt2::Adgrl2
3903,cancer_non_expanding,cancer_non_expanding,0.0005033921928932247,Col4a1,Itga3,Col4a1::Itga3
3904,Endothelial_non_expanding,cancer_expanding,0.0005026666842804214,Col4a1,Cd44,Col4a1::Cd44
3905,Mac_non_expanding,Mac_non_expanding,0.000502486866986572,Wnt2b,Lrp6,Wnt2b::Lrp6
3906,MonoMac_expanding,Mac_expanding,0.0005020539847508541,Tg,Thrb,Tg::Thrb
3907,cancer_non_expanding,cancer_expanding,0.0005020529773979672,Lama3,Dag1,Lama3::Dag1
3908,cancer_non_expanding,Mesothelial_expanding,0.000501762235569252,Lama5,Itgb8,Lama5::Itgb8
3909,Endothelial_non_expanding,Endothelial_non_expanding,0.0005014309771098317,Angpt2,Tek,Angpt2::Tek
3910,AT2_non_expanding,AT2_expanding,0.0005010222292009421,Col6a1,Cd44,Col6a1::Cd44
3911,cancer_non_expanding,myCAF_non_expanding,0.0005008508783252348,Lrrc4,Ntng2,Lrrc4::Ntng2
3912,Mesothelial_expanding,Mesothelial_non_expanding,0.00050077573929713,Col1a2,Sdc4,Col1a2::Sdc4
3913,AT2_non_expanding,cancer_expanding,0.0005007611266484307,Col6a2,Itga9,Col6a2::Itga9
3914,Endothelial_expanding,myCAF_expanding,0.000500598737312053,Col4a2,Itga1,Col4a2::Itga1
3915,Pecam1+ Mac_non_expanding,Mac_non_expanding,0.0004994049361566143,Tg,Thrb,Tg::Thrb
3916,iCAF_non_expanding,Mesothelial_expanding,0.000499051314621339,Slc6a6,Gabrb3,Slc6a6::Gabrb3
3917,Alveolar Macrophage_non_expanding,myCAF_non_expanding,0.0004989732826522046,Tg,Thrb,Tg::Thrb
3918,Mesothelial_non_expanding,Endothelial_expanding,0.0004982955715963511,Flrt2,Unc5b,Flrt2::Unc5b
3919,cancer_expanding,myCAF_expanding,0.0004981337908175279,Lamb3,Itga1,Lamb3::Itga1
3920,AT2_non_expanding,cancer_expanding,0.0004980592365404265,Sftpd,Adgre5,Sftpd::Adgre5
3921,Mac_non_expanding,cancer_expanding,0.0004977403446640158,Col4a5,Itga11,Col4a5::Itga11
3922,Mac_non_expanding,cancer_expanding,0.0004973593728677547,Lamc1,Itgb1,Lamc1::Itgb1
3923,Mac_expanding,cancer_non_expanding,0.0004966184712766804,Tnr,Itgb6,Tnr::Itgb6
3924,myCAF_expanding,iCAF_expanding,0.0004965054996485656,Fn1,Itgb8,Fn1::Itgb8
3925,myCAF_expanding,Mac_expanding,0.0004962168061310554,Lama2,Dag1,Lama2::Dag1
3926,iCAF_non_expanding,Mesothelial_expanding,0.0004951880246195062,Col1a2,Itga11,Col1a2::Itga11
3927,Club cell_non_expanding,Endothelial_expanding,0.0004949180646856509,Angpt1,Tek,Angpt1::Tek
3928,iCAF_expanding,myCAF_expanding,0.0004948045154313154,Fgf1,Fgfr1,Fgf1::Fgfr1
3929,cancer_expanding,Mesothelial_expanding,0.0004945924977256867,Tgfa,Egfr,Tgfa::Egfr
3930,AT2_expanding,AT2_expanding,0.0004941419200709506,Lamb3,Itga9,Lamb3::Itga9
3931,AT2_non_expanding,cancer_expanding,0.0004941030316853984,Angptl2,Itgb1,Angptl2::Itgb1
3932,cancer_non_expanding,Mac_expanding,0.0004939696616883676,Sema3c,Plxna2,Sema3c::Plxna2
3933,AT2_non_expanding,cancer_expanding,0.0004939671362405261,Col6a1,Itga9,Col6a1::Itga9
3934,AT2_non_expanding,Pecam1+ Mac_non_expanding,0.0004933003832572214,Sema3c,Nrp2,Sema3c::Nrp2
3935,myCAF_expanding,cancer_non_expanding,0.0004932553438158885,Tnc,Sdc4,Tnc::Sdc4
